word,pos
riot,NN
police,NNS
were,VBD
deployed,VBN
along,IN
the,DT
march,NN
route,NN
.,.
Officials,NNS
say,VBP
at,IN
least,JJS
four,CD
people,NNS
were,VBD
arrested,VBN
.,.
Sapporo,NNP
is,VBZ
the,DT
capital,NN
of,IN
Hokkaido,NNP
Island,NNP
.,.
The,DT
G8,NNP
leaders,NNS
will,MD
convene,VB
at,IN
a,DT
nearby,JJ
luxury,NN
resort,NN
on,IN
Monday,NNP
for,IN
a,DT
three-day,JJ
summit,NN
.,.
The,DT
G8,NNP
includes,VBZ
the,DT
United,NNP
States,NNPS
",",","
Japan,NNP
",",","
Russia,NNP
",",","
France,NNP
",",","
Britain,NNP
",",","
Canada,NNP
",",","
Italy,NNP
and,CC
Germany,NNP
.,.
BBC,NNP
journalist,NN
Alan,NNP
Johnston,NNP
",",","
released,VBN
Wednesday,NNP
by,IN
Palestinian,JJ
kidnappers,NNS
in,IN
the,DT
Gaza,NNP
Strip,NNP
",",","
has,VBZ
received,VBN
an,DT
award,NN
for,IN
human,JJ
rights,NNS
reporting,VBG
from,IN
Amnesty,NNP
International,NNP
.,.
Amnesty,NNP
International,NNP
's,POS
director,NN
for,IN
Britain,NNP
",",","
Kate,NNP
Allen,NNP
",",","
said,VBD
the,DT
judges,NNS
of,IN
the,DT
annual,JJ
media,NNS
awards,NNS
were,VBD
determined,VBN
not,RB
to,TO
let,VB
Johnston,NNP
's,POS
kidnapping,NN
affect,VBP
their,PRP$
judgment,NN
.,.
She,PRP
said,VBD
they,PRP
were,VBD
impressed,VBN
by,IN
his,PRP$
insight,NN
and,CC
commitment,NN
to,TO
telling,VBG
stories,NNS
of,IN
everyday,JJ
life,NN
in,IN
Gaza,NNP
.,.
The,DT
award,NN
was,VBD
one,CD
of,IN
nine,CD
that,IN
Amnesty,NNP
gave,VBD
out,RP
during,IN
a,DT
ceremony,NN
in,IN
London,NNP
Wednesday,NNP
just,RB
hours,NNS
after,IN
Johnston,NNP
's,POS
release,NN
.,.
His,PRP$
father,NN
accepted,VBD
the,DT
award,NN
for,IN
him,PRP
",",","
saying,VBG
",",","
"""",``
It,PRP
's,VBZ
been,VBN
quite,RB
a,DT
day,NN
.,.
"""",``
Johnston,NNP
was,VBD
the,DT
only,JJ
Western,JJ
reporter,NN
based,VBN
in,IN
Gaza,NNP
when,WRB
he,PRP
was,VBD
abducted,VBN
in,IN
March,NNP
.,.
After,IN
his,PRP$
release,NN
",",","
he,PRP
compared,VBD
his,PRP$
four,CD
months,NNS
in,IN
captivity,NN
to,TO
being,VBG
buried,VBN
alive,JJ
.,.
"""",``
The,DT
White,NNP
House,NNP
says,VBZ
it,PRP
can,MD
not,RB
intervene,VB
in,IN
the,DT
New,NNP
York,NNP
City,NNP
public,JJ
transit,NN
strike,NN
",",","
but,CC
it,PRP
has,VBZ
encouraged,VBN
the,DT
parties,NNS
involved,VBN
to,TO
resolve,VB
their,PRP$
differences,NNS
.,.
A,DT
White,NNP
House,NNP
spokesman,NN
",",","
Scott,NNP
McClellan,NNP
",",","
told,VBD
reporters,NNS
Wednesday,NNP
that,IN
federal,JJ
mediators,NNS
have,VBP
offered,VBN
to,TO
help,VB
resolve,VB
the,DT
conflict,NN
over,IN
city,NN
transit,NN
workers,NNS
',POS
pay,NN
and,CC
pension,NN
issues,NNS
.,.
Meanwhile,RB
",",","
New,NNP
Yorkers,NNPS
commuted,VBD
to,TO
work,VB
for,IN
the,DT
second,JJ
day,NN
on,IN
foot,NN
",",","
on,IN
bicycle,NN
",",","
or,CC
crowded,JJ
four-at-a-time,NN
into,IN
taxi,NN
cabs,NNS
.,.
The,DT
city,NN
's,POS
subway,NN
and,CC
buses,NNS
shut,VBD
down,RP
early,RB
Tuesday,NNP
after,IN
talks,NNS
deadlocked,VBD
between,IN
the,DT
city,NN
and,CC
the,DT
Transport,NNP
Workers,NNP
Union,NNP
.,.
Later,RB
that,DT
day,NN
",",","
a,DT
judge,NN
imposed,VBD
a,DT
fine,NN
against,IN
the,DT
union,NN
of,IN
$,$
1,CD
million,CD
for,IN
each,DT
day,NN
of,IN
the,DT
strike,NN
.,.
Merchants,NNS
are,VBP
concerned,VBN
about,IN
plummeting,VBG
sales,NNS
just,RB
before,IN
the,DT
Christmas,NNP
and,CC
New,NNP
Year,NNP
holidays,NNS
-,IN
normally,RB
the,DT
busiest,JJS
shopping,NN
days,NNS
of,IN
the,DT
year,NN
.,.
The,DT
United,NNP
States,NNPS
says,VBZ
it,PRP
is,VBZ
being,VBG
forced,VBN
to,TO
suspend,VB
food,NN
aid,NN
to,TO
North,NNP
Korea,NNP
because,IN
of,IN
Pyongyang,NNP
's,POS
decision,NN
to,TO
stop,VB
allowing,VBG
the,DT
United,NNP
Nations,NNPS
to,TO
distribute,VB
the,DT
food,NN
.,.
State,NNP
Department,NNP
spokesman,NN
Adam,NNP
Ereli,NNP
said,VBD
Thursday,NNP
U.S.,NNP
policy,NN
requires,VBZ
that,IN
international,JJ
relief,NN
workers,NNS
be,VB
able,JJ
to,TO
monitor,VB
the,DT
distribution,NN
of,IN
its,PRP$
food,NN
.,.
That,DT
safeguard,NN
will,MD
disappear,VB
when,WRB
the,DT
U.N.,NNP
World,NNP
Food,NNP
Program,NNP
(,LRB
WFP,NNP
),RRB
stops,VBZ
distributing,VBG
food,NN
in,IN
North,NNP
Korea,NNP
this,DT
month,NN
.,.
Mr.,NNP
Ereli,NNP
said,VBD
it,PRP
is,VBZ
a,DT
common,JJ
practice,NN
for,IN
North,NNP
Korea,NNP
to,TO
"""",``
ignore,VB
the,DT
needs,NNS
of,IN
its,PRP$
people,NNS
"""",``
and,CC
"""",``
let,VB
them,PRP
starve,VB
for,IN
inexplicable,JJ
reasons,NNS
.,.
"""",``
North,NNP
Korea,NNP
announced,VBD
in,IN
August,NNP
that,IN
it,PRP
no,RB
longer,RBR
wanted,VBD
U.N.,NNP
food,NN
aid,NN
because,IN
it,PRP
said,VBD
domestic,JJ
food,NN
production,NN
had,VBD
improved,VBN
.,.
The,DT
WFP,NNP
said,VBD
it,PRP
would,MD
close,VB
all,DT
its,PRP$
food-processing,JJ
plants,NNS
in,IN
North,NNP
Korea,NNP
by,IN
the,DT
end,NN
of,IN
this,DT
month,NN
.,.
Danish,JJ
police,NNS
are,VBP
holding,VBG
seven,CD
people,NNS
suspected,VBN
of,IN
planning,VBG
terrorist,JJ
attacks,NNS
in,IN
the,DT
Scandinavian,JJ
country,NN
.,.
Authorities,NNS
say,VBP
security,NN
police,NNS
launched,VBD
a,DT
raid,NN
early,JJ
Tuesday,NNP
and,CC
detained,VBD
nine,CD
suspects,NNS
in,IN
Vollsmose,NNP
",",","
a,DT
mostly,RB
immigrant,JJ
neighborhood,NN
in,IN
the,DT
city,NN
of,IN
Odense,NNP
.,.
Police,NNS
released,VBD
two,CD
of,IN
the,DT
suspects,NNS
.,.
Justice,NNP
Minister,NNP
Lene,NNP
Espersen,NNP
said,VBD
police,NNS
seized,VBD
materials,NNS
used,VBN
to,TO
make,VB
explosives,NNS
",",","
and,CC
she,PRP
said,VBD
most,JJS
of,IN
the,DT
suspects,NNS
are,VBP
thought,VBN
to,TO
be,VB
Danish,JJ
citizens,NNS
of,IN
foreign,JJ
origin,NN
.,.
Espersen,NNP
declined,VBD
to,TO
disclose,VB
further,JJ
details,NNS
but,CC
she,PRP
said,VBD
evidence,NN
showed,VBD
the,DT
group,NN
had,VBD
been,VBN
plotting,VBG
to,TO
stage,VB
an,DT
attack,NN
somewhere,RB
in,IN
Denmark,NNP
.,.
Last,JJ
month,NN
",",","
authorities,NNS
charged,VBD
four,CD
suspects,NNS
with,IN
trying,VBG
to,TO
obtain,VB
explosives,NNS
to,TO
carry,VB
out,RP
a,DT
terrorist,JJ
attack,NN
.,.
Also,RB
in,IN
early,JJ
August,NNP
",",","
a,DT
Moroccan-born,JJ
Dane,NN
was,VBD
charged,VBN
with,IN
inciting,VBG
Muslims,NNS
to,TO
carry,VB
out,RP
terrorist,JJ
acts,NNS
.,.
Police,NNS
in,IN
northwest,JJ
Pakistan,NNP
say,VBP
suspected,VBN
Taliban,NNP
militants,NNS
have,VBP
blown,VBN
up,RP
a,DT
primary,JJ
school,NN
that,IN
educated,VBN
girls,NNS
.,.
Officials,NNS
say,VBP
there,EX
were,VBD
no,DT
casualties,NNS
in,IN
Tuesday,NNP
's,POS
blast,NN
because,IN
the,DT
school,NN
was,VBD
closed,VBN
for,IN
the,DT
Eid,JJ
al-Fitr,JJ
holiday,NN
marking,VBG
the,DT
end,NN
of,IN
the,DT
Muslim,NNP
holy,JJ
month,NN
of,IN
Ramadan,NNP
.,.
Al-Qaida,NNP
and,CC
Taliban-linked,JJ
militants,NNS
who,WP
oppose,VBP
the,DT
education,NN
of,IN
women,NNS
have,VBP
destroyed,VBN
hundreds,NNS
of,IN
girls,NNS
schools,NNS
across,IN
the,DT
country,NN
.,.
On,IN
Monday,NNP
",",","
police,NN
killed,VBD
a,DT
suicide,NN
bomber,NN
trying,VBG
to,TO
assassinate,VB
a,DT
regional,JJ
education,NN
minister,NN
",",","
also,RB
in,IN
the,DT
northwest,NN
.,.
In,IN
other,JJ
violence,NN
",",","
Pakistani,JJ
security,NN
forces,NNS
say,VBP
they,PRP
have,VBP
arrested,VBN
11,CD
suspected,JJ
militants,NNS
",",","
including,VBG
three,CD
Afghanis,NNP
",",","
during,IN
security,NN
operations,NNS
in,IN
Malakand,NNP
and,CC
Swat,NNP
districts,NNS
.,.
In,IN
a,DT
statement,NN
released,VBN
Tuesday,NNP
",",","
officials,NNS
say,VBP
they,PRP
also,RB
found,VBD
four,CD
inter-linked,JJ
tunnels,NNS
and,CC
bomb-proof,JJ
bunkers,NNS
during,IN
a,DT
separate,JJ
search,NN
operation,NN
near,IN
Swat,NNP
's,POS
Biakand,NNP
area,NN
.,.
NATO,NNP
says,VBZ
two,CD
alliance,NN
soldiers,NNS
have,VBP
been,VBN
killed,VBN
and,CC
three,CD
others,NNS
wounded,VBN
in,IN
a,DT
firefight,NN
with,IN
Taliban,NNP
insurgents,NNS
in,IN
eastern,JJ
Afghanistan,NNP
.,.
In,IN
a,DT
statement,NN
",",","
the,DT
NATO-led,JJ
International,NNP
Security,NNP
Assistance,NNP
Force,NNP
says,VBZ
the,DT
fighting,NN
erupted,VBD
when,WRB
insurgents,NNS
ambushed,VBD
a,DT
joint,JJ
NATO-Afghan,JJ
troop,NN
patrol,NN
in,IN
the,DT
Korangal,NNP
Valley,NNP
of,IN
Kunar,NNP
province,NN
late,JJ
Thursday,NNP
.,.
NATO,NNP
did,VBD
not,RB
identify,VB
the,DT
nationalities,NNS
of,IN
the,DT
dead,JJ
and,CC
wounded,JJ
soldiers,NNS
.,.
NATO,NNP
and,CC
U.S.,NNP
forces,NNS
are,VBP
battling,VBG
a,DT
resurgent,JJ
Taliban,NNP
presence,NN
in,IN
Afghanistan,NNP
.,.
The,DT
group,NN
increasingly,RB
has,VBZ
used,VBN
suicide,NN
attacks,NNS
and,CC
roadside,NN
bomb,NN
blasts,NNS
since,IN
U.S.-led,JJ
forces,NNS
ousted,VBD
it,PRP
from,IN
power,NN
in,IN
the,DT
late,JJ
2001,CD
.,.
Staff,NN
from,IN
Arabic,JJ
television,NN
station,NN
al-Jazeera,NNP
protested,VBD
Thursday,NNP
around,IN
the,DT
Middle,NNP
East,NNP
in,IN
the,DT
wake,NN
of,IN
a,DT
British,JJ
news,NN
report,NN
that,WDT
alleged,VBD
President,NNP
Bush,NNP
considered,VBD
bombing,VBG
the,DT
channel,NN
's,POS
headquarters,NN
last,JJ
year,NN
.,.
Dozens,NNS
of,IN
al-Jazeera,NNP
reporters,NNS
and,CC
staff,NN
members,NNS
demonstrated,VBD
outside,IN
the,DT
station,NN
's,POS
headquarters,NN
in,IN
Doha,NNP
",",","
Qatar,NNP
and,CC
in,IN
other,JJ
cities,NNS
.,.
They,PRP
called,VBD
for,IN
an,DT
investigation,NN
into,IN
the,DT
allegations,NNS
raised,VBN
in,IN
the,DT
Daily,NNP
Mirror,NNP
article,NN
",",","
which,WDT
was,VBD
based,VBN
on,IN
an,DT
allegedly,RB
leaked,JJ
official,NN
memorandum,NN
.,.
In,IN
Cairo,NNP
",",","
Beirut,NNP
and,CC
Gaza,NNP
City,NNP
",",","
al-Jazeera,NNP
staffers,NNS
were,VBD
joined,VBN
by,IN
colleagues,NNS
from,IN
other,JJ
Arab,JJ
media,NNS
.,.
The,DT
White,NNP
House,NNP
has,VBZ
dismissed,VBN
the,DT
tabloid,JJ
report,NN
as,IN
"""",``
outlandish,JJ
and,CC
inconceivable,JJ
.,.
"""",``
After,IN
its,PRP$
front-page,JJ
story,NN
Tuesday,NNP
",",","
the,DT
Daily,NNP
Mirror,NNP
and,CC
two,CD
other,JJ
British,JJ
papers,NNS
said,VBD
Britain,NNP
's,POS
government,NN
threatened,VBD
them,PRP
with,IN
legal,JJ
action,NN
if,IN
they,PRP
publish,VB
further,JJ
details,NNS
of,IN
the,DT
top,JJ
secret,NN
document,NN
.,.
The,DT
United,NNP
States,NNPS
is,VBZ
temporarily,RB
closing,VBG
its,PRP$
consulate,NN
in,IN
the,DT
Mexican,JJ
border,NN
city,NN
of,IN
Nuevo,NNP
Laredo,NNP
because,IN
of,IN
escalating,VBG
violence,NN
.,.
In,IN
a,DT
statement,NN
from,IN
Mexico,NNP
City,NNP
Friday,NNP
",",","
Ambassador,NNP
Tony,NNP
Garza,NNP
said,VBD
the,DT
consulate,NN
will,MD
close,VB
for,IN
one,CD
week,NN
",",","
beginning,VBG
August,NNP
1,CD
.,.
He,PRP
says,VBZ
Thursday,NNP
's,POS
battle,NN
on,IN
the,DT
streets,NNS
of,IN
Nuevo,NNP
Laredo,NNP
forced,VBD
the,DT
closure,NN
to,TO
assess,VB
the,DT
security,NN
situation,NN
for,IN
employees,NNS
and,CC
travelers,NNS
.,.
Rival,JJ
gangs,NNS
clashed,VBN
with,IN
machine,NN
guns,NNS
",",","
grenades,NNS
and,CC
a,DT
rocket,NN
launcher,NN
late,JJ
Thursday,NNP
.,.
No,DT
one,NN
was,VBD
killed,VBN
",",","
but,CC
the,DT
neighborhood,NN
has,VBZ
been,VBN
described,VBN
as,IN
resembling,VBG
a,DT
war,NN
zone,NN
.,.
The,DT
closure,NN
announcement,NN
comes,VBZ
days,NNS
after,IN
the,DT
ambassador,NN
asked,VBD
the,DT
U.S.,NNP
State,NNP
Department,NNP
to,TO
extend,VB
its,PRP$
travel,NN
advisory,JJ
warning,NN
Americans,NNS
about,IN
attacks,NNS
in,IN
Mexico,NNP
.,.
More,JJR
than,IN
100,CD
people,NNS
have,VBP
been,VBN
killed,VBN
in,IN
the,DT
town,NN
since,IN
June,NNP
",",","
including,VBG
18,CD
policemen,NNS
",",","
as,IN
gangs,NNS
compete,VBP
for,IN
drug-smuggling,JJ
routes,NNS
into,IN
the,DT
United,NNP
States,NNPS
.,.
Pakistan,NNP
has,VBZ
sentenced,VBN
five,CD
people,NNS
to,TO
death,NN
for,IN
plotting,VBG
to,TO
kill,VB
President,NNP
Pervez,NNP
Musharraf,NNP
two,CD
years,NNS
ago,RB
.,.
Army,NNP
spokesman,NN
Major,NNP
General,NNP
Shaukat,NNP
Sultan,NNP
said,VBD
Friday,NNP
that,IN
the,DT
sentences,NNS
were,VBD
given,VBN
to,TO
one,CD
soldier,NN
and,CC
four,CD
civilians,NNS
involved,VBN
in,IN
the,DT
plot,NN
to,TO
ram,VB
an,DT
explosives-laden,JJ
vehicle,NN
into,IN
Mr.,NNP
Musharraf,NNP
's,POS
motorcade,NN
.,.
The,DT
president,NN
was,VBD
unhurt,JJ
in,IN
the,DT
attack,NN
in,IN
Rawalpindi,NNP
",",","
but,CC
15,CD
others,NNS
died,VBD
.,.
Earlier,RBR
this,DT
month,NN
",",","
authorities,NNS
hanged,VBD
a,DT
soldier,NN
linked,VBN
to,TO
that,DT
attack,NN
and,CC
an,DT
earlier,JJR
plot,NN
against,IN
the,DT
president,NN
.,.
Mr.,NNP
Musharraf,NNP
has,VBZ
become,VBN
a,DT
target,NN
for,IN
Islamic,JJ
militants,NNS
since,IN
joining,VBG
the,DT
U.S.-led,JJ
war,NN
on,IN
terrorism,NN
after,IN
the,DT
September,NNP
11,CD
",",","
2001,CD
attacks,NNS
in,IN
the,DT
United,NNP
States,NNPS
.,.
Pakistani,JJ
officials,NNS
say,VBP
the,DT
suspected,JJ
mastermind,NN
of,IN
the,DT
plot,NN
uncovered,NN
in,IN
London,NNP
last,JJ
week,NN
to,TO
blow,VB
up,RP
U.S.-bound,JJ
airplanes,NNS
is,VBZ
hiding,VBG
in,IN
a,DT
mountainous,JJ
region,NN
of,IN
northeastern,JJ
Afghanistan,NNP
.,.
The,DT
officials,NNS
said,VBD
Friday,NNP
they,PRP
told,VBD
the,DT
U.S.,NNP
military,NN
that,IN
the,DT
suspect,NN
",",","
an,DT
al-Qaida,NNP
operative,NN
",",","
is,VBZ
believed,VBN
to,TO
be,VB
in,IN
Afghanistan,NNP
's,POS
Kunar,NNP
province,NN
",",","
which,WDT
borders,VBZ
Pakistan,NNP
.,.
They,PRP
have,VBP
not,RB
disclosed,VBN
his,PRP$
name,NN
.,.
They,PRP
say,VBP
the,DT
information,NN
was,VBD
obtained,VBN
by,IN
interrogators,NNS
questioning,VBG
British,JJ
suspect,NN
Rashid,NN
Rauf,NNP
",",","
who,WP
was,VBD
arrested,VBN
in,IN
eastern,JJ
Pakistan,NNP
and,CC
is,VBZ
regarded,VBN
as,IN
a,DT
key,JJ
figure,NN
in,IN
the,DT
foiled,VBN
plot,NN
.,.
Twenty-three,CD
people,NNS
are,VBP
in,IN
detention,NN
in,IN
Britain,NNP
",",","
and,CC
Pakistan,NNP
is,VBZ
holding,VBG
seven,CD
suspects,NNS
in,IN
the,DT
plot,NN
.,.
A,DT
flurry,NN
of,IN
reports,NNS
Tuesday,NNP
shows,VBZ
problems,NNS
for,IN
the,DT
U.S.,NNP
economy,NN
in,IN
the,DT
services,NNS
",",","
retail,JJ
",",","
factory,NN
",",","
and,CC
housing,NN
sectors,NNS
.,.
Services,NNPS
make,VBP
up,RP
the,DT
vast,JJ
majority,NN
of,IN
the,DT
world,NN
's,POS
largest,JJS
economy,NN
",",","
but,CC
were,VBD
hit,VBN
hard,RB
in,IN
December,NNP
as,IN
consumers,NNS
cut,VBP
spending,NN
and,CC
housing,NN
slumped,VBD
.,.
However,RB
",",","
the,DT
industry,NN
group,NN
the,DT
Institute,NNP
for,IN
Supply,NNP
Management,NNP
that,WDT
tracks,VBZ
the,DT
data,NN
says,VBZ
December,NNP
's,POS
figures,NNS
showed,VBD
the,DT
services,NNS
sector,NN
shrinking,NN
at,IN
a,DT
slower,JJR
rate,NN
than,IN
the,DT
prior,JJ
month,NN
.,.
Retail,JJ
sales,NNS
are,VBP
also,RB
troubled,VBN
.,.
Big,JJ
discounts,NNS
following,VBG
the,DT
Christmas,NNP
holiday,NN
",",","
December,NNP
25,CD
",",","
had,VBD
consumers,NNS
shopping,VBG
for,IN
bargains,NNS
",",","
but,CC
were,VBD
not,RB
enough,RB
to,TO
help,VB
retailers,NNS
salvage,VB
a,DT
disappointing,JJ
holiday,NN
shopping,NN
season,NN
.,.
An,DT
industry,NN
group,NN
",",","
the,DT
International,NNP
Council,NNP
of,IN
Shopping,NNP
Centers,NNP
",",","
says,VBZ
sales,NNS
fell,VBD
almost,RB
one,CD
percent,NN
last,JJ
week,NN
",",","
compared,VBN
to,TO
the,DT
same,JJ
time,NN
last,JJ
year,NN
.,.
Other,JJ
reports,NNS
Tuesday,NNP
show,VBZ
U.S.,NNP
factory,NN
orders,NNS
falling,VBG
sharply,RB
and,CC
pending,VBG
home,NN
resales,VBZ
off,RP
sharply,RB
in,IN
November,NNP
.,.
Janice,NNP
Karpinski,NNP
The,DT
U.S.,NNP
Army,NNP
has,VBZ
demoted,VBN
the,DT
reserve,NN
officer,NN
who,WP
commanded,VBD
the,DT
military,JJ
police,NN
unit,NN
at,IN
Iraq,NNP
's,POS
Abu,NNP
Ghraib,NNP
in,IN
a,DT
highly,RB
publicized,JJ
prisoner,NN
abuse,NN
scandal,NN
.,.
The,DT
Army,NNP
says,VBZ
Brigadier,NN
General,NNP
Janice,NNP
Karpinski,NNP
was,VBD
found,VBN
guilty,JJ
of,IN
dereliction,NN
of,IN
duty,NN
",",","
and,CC
",",","
upon,IN
President,NNP
Bush,NNP
's,POS
approval,NN
",",","
she,PRP
was,VBD
demoted,VBN
to,IN
colonel,NN
.,.
However,RB
",",","
the,DT
Army,NNP
says,VBZ
no,DT
action,NN
or,CC
lack,NN
of,IN
action,NN
by,IN
General,NNP
Karpinski,NNP
contributed,VBD
specifically,RB
to,TO
the,DT
abuse,NN
of,IN
detainees,NNS
at,IN
Abu,NNP
Ghraib,NNP
.,.
General,NNP
Karpinski,NNP
is,VBZ
the,DT
highest-ranking,JJ
U.S.,NNP
officer,NN
to,TO
be,VB
punished,VBN
in,IN
the,DT
wake,NN
of,IN
the,DT
prison,NN
scandal,NN
.,.
Earlier,RBR
this,DT
week,NN
",",","
a,DT
U.S.,NNP
military,JJ
judge,NN
threw,VBD
out,RP
the,DT
guilty,JJ
plea,NN
of,IN
Army,NNP
Private,NNP
First,NNP
Class,NNP
Lynndie,NNP
England,NNP
in,IN
connection,NN
with,IN
the,DT
scandal,NN
.,.
Her,PRP$
case,NN
will,MD
now,RB
be,VB
sent,VBN
back,RB
to,TO
military,JJ
authorities,NNS
for,IN
further,JJ
consideration,NN
.,.
International,JJ
human,JJ
rights,NNS
groups,NNS
say,VBP
gunmen,NNS
in,IN
the,DT
Democratic,JJ
Republic,NNP
of,IN
Congo,NNP
have,VBP
killed,VBN
a,DT
prominent,JJ
rights,NNS
activist,NN
in,IN
the,DT
east,NN
of,IN
the,DT
country,NN
.,.
In,IN
a,DT
joint,JJ
statement,NN
Monday,NNP
",",","
Amnesty,NNP
International,NNP
",",","
Human,NNP
Rights,NNP
Watch,NNP
",",","
and,CC
Front,NNP
Line,NNP
called,VBD
on,IN
Congo,NNP
's,POS
government,NN
to,TO
investigate,VB
the,DT
slaying,NN
of,IN
Pascal,NNP
Kabungulu,NNP
Kibembi,NNP
.,.
He,PRP
was,VBD
executive,JJ
director,NN
of,IN
the,DT
human,JJ
rights,NNS
group,NN
Heirs,NNP
of,IN
Justice,NNP
",",","
based,VBN
in,IN
Congo,NNP
's,POS
South,NNP
Kivu,NNP
region,NN
.,.
The,DT
organizations,NNS
say,VBP
that,IN
on,IN
Sunday,NNP
",",","
three,CD
armed,JJ
men,NNS
in,IN
uniform,NN
broke,VBD
into,IN
Mr.,NNP
Kabungulu,NNP
's,POS
home,NN
in,IN
Bukavu,NNP
",",","
and,CC
shot,VBD
him,PRP
in,IN
front,NN
of,IN
his,PRP$
family,NN
.,.
The,DT
groups,NNS
are,VBP
urging,VBG
the,DT
Congolese,JJ
government,NN
to,TO
find,VB
and,CC
prosecute,VB
those,DT
responsible,JJ
and,CC
to,TO
develop,VB
an,DT
effective,JJ
plan,NN
to,TO
protect,VB
human,JJ
rights,NNS
workers,NNS
.,.
They,PRP
say,VBP
some,DT
rights,NNS
activists,NNS
have,VBP
fled,VBN
the,DT
country,NN
because,IN
of,IN
increased,VBN
threats,NNS
.,.
Witnesses,NNS
say,VBP
nearly,RB
20,CD
dead,JJ
whales,NNS
have,VBP
washed,VBN
up,RP
Wednesday,NNP
on,IN
a,DT
beach,NN
in,IN
Dakar,NNP
",",","
Senegal,NNP
.,.
Dakar,NNP
journalist,NN
Ricci,NNP
Shryock,NNP
tells,VBZ
VOA,NNP
national,JJ
police,NNS
are,VBP
removing,VBG
the,DT
carcasses,NNS
in,IN
trucks,NNS
.,.
She,PRP
said,VBD
the,DT
whales,NNS
measure,NN
some,DT
3.5,CD
to,TO
4.5,CD
meters,NNS
.,.
Local,JJ
villagers,NNS
say,VBP
as,RB
many,JJ
as,IN
100,CD
whales,NNS
swam,VBD
up,RP
to,TO
shore,VB
late,JJ
Tuesday,NNP
night,NN
.,.
Fisherman,NNP
were,VBD
able,JJ
to,TO
tow,VB
some,DT
of,IN
the,DT
animals,NNS
out,IN
to,TO
sea,NN
.,.
It,PRP
is,VBZ
unclear,JJ
why,WRB
the,DT
animals,NNS
swam,VBP
close,RB
to,TO
shore,VB
.,.
U.S.,NNP
President,NNP
Barack,NNP
Obama,NNP
called,VBD
the,DT
heads,NNS
of,IN
the,DT
nation,NN
's,POS
largest,JJS
banks,NNS
to,TO
the,DT
White,NNP
House,NNP
for,IN
talks,NNS
Friday,NNP
",",","
in,IN
the,DT
latest,JJS
effort,NN
to,TO
find,VB
ways,NNS
to,TO
bolster,VB
the,DT
battered,JJ
U.S.,NNP
economy,NN
.,.
Earlier,RBR
this,DT
week,NN
",",","
the,DT
Obama,NNP
administration,NN
proposed,VBD
a,DT
plan,NN
to,TO
help,VB
troubled,JJ
banks,NNS
by,IN
using,VBG
a,DT
government,NN
and,CC
private,JJ
partnership,NN
to,TO
buy,VB
up,RP
to,TO
$,$
1,CD
trillion,CD
in,IN
bad,JJ
loans,NNS
and,CC
other,JJ
"""",``
toxic,JJ
assets,NNS
"""",``
from,IN
them,PRP
.,.
Thursday,NNP
",",","
Treasury,NNP
Secretary,NNP
Timothy,NNP
Geithner,NNP
urged,VBD
Congress,NNP
to,TO
approve,VB
the,DT
administration,NN
's,POS
plan,NN
to,TO
expand,VB
the,DT
government,NN
's,POS
powers,NNS
to,TO
monitor,VB
large,JJ
financial,JJ
firms,NNS
.,.
There,EX
may,MD
be,VB
some,DT
faint,NN
signs,NNS
the,DT
effort,NN
is,VBZ
working,VBG
.,.
Economic,JJ
data,NNS
published,VBN
Friday,NNP
shows,VBZ
consumer,NN
spending,NN
rose,VBD
slightly,RB
and,CC
consumer,NN
sentiment,NN
improved,VBD
a,DT
small,JJ
amount,NN
in,IN
February,NNP
.,.
Economists,NNS
track,VBP
consumer,NN
spending,NN
and,CC
their,PRP$
views,NNS
of,IN
the,DT
economy,NN
because,IN
consumer,NN
demand,NN
drives,VBZ
two-thirds,NNS
of,IN
U.S.,NNP
economic,JJ
activity,NN
.,.
U.S.,NNP
military,JJ
officials,NNS
say,VBP
the,DT
death,NN
toll,NN
from,IN
Wednesday,NNP
's,POS
helicopter,NN
crash,NN
in,IN
southeastern,JJ
Afghanistan,NNP
has,VBZ
risen,VBN
to,TO
16,CD
",",","
including,VBG
at,IN
least,JJS
four,CD
American,JJ
crew,NN
members,NNS
.,.
A,DT
U.S.,NNP
statement,NN
says,VBZ
two,CD
other,JJ
people,NNS
listed,VBN
on,IN
the,DT
flight,NN
manifest,NN
are,VBP
missing,VBG
.,.
The,DT
Chinook,NNP
helicopter,NN
was,VBD
returning,VBG
to,TO
Bagram,NNP
air,NN
base,NN
from,IN
Ghazni,NNP
province,NN
",",","
southwest,NN
of,IN
the,DT
capital,NN
",",","
Kabul,NNP
",",","
when,WRB
it,PRP
went,VBD
down,RB
near,IN
Ghazni,NNP
city,NN
.,.
The,DT
U.S.,NNP
military,NN
suggests,VBZ
severe,JJ
weather,NN
was,VBD
to,TO
blame,VB
for,IN
what,WP
is,VBZ
the,DT
deadliest,JJS
military,JJ
crash,NN
in,IN
Afghanistan,NNP
since,IN
the,DT
start,NN
of,IN
U.S.-led,JJ
operations,NNS
to,TO
oust,VB
the,DT
Taleban,NNP
in,IN
late,JJ
2001,CD
.,.
The,DT
European,NNP
Union,NNP
will,MD
start,VB
talks,NNS
with,IN
Bosnia,NNP
on,IN
Friday,NNP
on,IN
an,DT
accord,NN
to,TO
move,VB
the,DT
country,NN
closer,RBR
to,TO
joining,VBG
the,DT
25-nation,JJ
bloc,NN
.,.
The,DT
EU,NNP
Enlargement,NNP
